Watching for file changes with StatReloader
INFO 2021-08-31 21:25:42,526 basehttp 134970 139984815642176 "GET /static/store/img/SK-A-3340.jpg HTTP/1.1" 200 38961
INFO 2021-08-31 21:25:42,531 basehttp 134970 139984577222208 "GET /static/store/img/SK-A-3341.jpg HTTP/1.1" 200 26813
INFO 2021-08-31 21:25:42,531 basehttp 134970 139984585614912 "GET /static/store/img/SK-A-3307.jpg HTTP/1.1" 200 52251
INFO 2021-08-31 21:25:43,584 basehttp 134970 139984568829504 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 22:42:36,895 autoreload 151514 140658904610624 Watching for file changes with StatReloader
ERROR 2021-08-31 22:42:41,697 exception 151514 140658769655360 Invalid HTTP_HOST header: 'localhost:8000'. You may need to add 'localhost' to ALLOWED_HOSTS.
WARNING 2021-08-31 22:42:41,728 log 151514 140658769655360 Bad Request: /
WARNING 2021-08-31 22:42:41,728 basehttp 151514 140658769655360 "GET / HTTP/1.1" 400 74194
INFO 2021-08-31 22:43:07,463 autoreload 151514 140658904610624 /home/artyom/Documents/Uni/ISP/lab3/lab3/settings.py changed, reloading.
INFO 2021-08-31 22:43:07,668 autoreload 151664 140330723276608 Watching for file changes with StatReloader
INFO 2021-08-31 22:43:10,893 basehttp 151664 140330660562496 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 22:43:10,927 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:43:11,948 basehttp 151664 140330660562496 "GET /products/ HTTP/1.1" 200 26885
INFO 2021-08-31 22:43:12,960 basehttp 151664 140330660562496 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 22:43:14,026 basehttp 151664 140330660562496 "GET /cart/ HTTP/1.1" 200 4118
INFO 2021-08-31 22:43:14,762 basehttp 151664 140330660562496 "GET /accounts/logout/?next=/ HTTP/1.1" 302 0
INFO 2021-08-31 22:43:14,772 basehttp 151664 140330660562496 "GET / HTTP/1.1" 200 3052
INFO 2021-08-31 22:43:15,477 basehttp 151664 140330660562496 "GET /accounts/login/?next=/ HTTP/1.1" 200 4648
INFO 2021-08-31 22:43:21,066 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2021-08-31 22:43:21,082 basehttp 151664 140330660562496 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 22:43:23,108 basehttp 151664 140330660562496 "GET /products/ HTTP/1.1" 200 26885
INFO 2021-08-31 22:43:25,256 basehttp 151664 140330660562496 "GET /accounts/logout/?next=/ HTTP/1.1" 302 0
INFO 2021-08-31 22:43:25,277 basehttp 151664 140330660562496 "GET / HTTP/1.1" 200 3052
INFO 2021-08-31 22:43:30,094 basehttp 151664 140330660562496 "GET /products/ HTTP/1.1" 302 0
INFO 2021-08-31 22:43:30,109 basehttp 151664 140330660562496 "GET /accounts/login/?next=/products/ HTTP/1.1" 200 4657
INFO 2021-08-31 22:43:33,029 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4750
INFO 2021-08-31 22:44:40,243 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4819
INFO 2021-08-31 22:44:40,261 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:44:52,109 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4814
INFO 2021-08-31 22:44:52,140 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:45:02,627 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4796
INFO 2021-08-31 22:45:02,646 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:45:15,607 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4823
INFO 2021-08-31 22:45:15,630 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:46:20,571 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4823
INFO 2021-08-31 22:46:20,612 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:46:22,755 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4823
INFO 2021-08-31 22:46:22,784 basehttp 151664 140330625943104 "GET /static/store/css/store.css HTTP/1.1" 200 2701
INFO 2021-08-31 22:46:22,784 basehttp 151664 140330634335808 "GET /static/store/js/cart.js HTTP/1.1" 200 1540
INFO 2021-08-31 22:46:22,784 basehttp 151664 140330660562496 "GET /static/store/lib/fontawesome/css/all.min.css HTTP/1.1" 200 59344
INFO 2021-08-31 22:46:22,978 basehttp 151664 140330660562496 "GET /static/store/lib/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
WARNING 2021-08-31 22:46:23,034 log 151664 140330660562496 Not Found: /favicon.ico
WARNING 2021-08-31 22:46:23,034 basehttp 151664 140330660562496 "GET /favicon.ico HTTP/1.1" 404 3437
INFO 2021-08-31 22:46:28,664 basehttp 151664 140330660562496 "GET / HTTP/1.1" 200 3052
INFO 2021-08-31 22:46:28,699 basehttp 151664 140330660562496 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:46:29,815 basehttp 151664 140330660562496 "GET /accounts/login/?next=/ HTTP/1.1" 200 4664
INFO 2021-08-31 22:46:29,849 basehttp 151664 140330660562496 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:46:39,139 basehttp 151664 140330660562496 "GET /accounts/login/?next=/ HTTP/1.1" 200 4664
INFO 2021-08-31 22:46:39,163 basehttp 151664 140330660562496 "GET /static/store/css/store.css HTTP/1.1" 200 2723
INFO 2021-08-31 22:46:39,164 basehttp 151664 140330625943104 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:47:02,341 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4832
INFO 2021-08-31 22:47:02,371 basehttp 151664 140330660562496 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:47:34,520 basehttp 151664 140330625943104 "POST /accounts/login/ HTTP/1.1" 200 4815
INFO 2021-08-31 22:47:34,546 basehttp 151664 140330660562496 "GET /static/store/css/store.css HTTP/1.1" 200 2726
INFO 2021-08-31 22:47:34,547 basehttp 151664 140330634335808 "GET /static/store/js/cart.js HTTP/1.1" 200 1540
INFO 2021-08-31 22:47:34,547 basehttp 151664 140330625943104 "GET /static/store/lib/fontawesome/css/all.min.css HTTP/1.1" 200 59344
INFO 2021-08-31 22:47:34,653 basehttp 151664 140330625943104 "GET /static/store/lib/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
WARNING 2021-08-31 22:47:34,677 log 151664 140330625943104 Not Found: /favicon.ico
WARNING 2021-08-31 22:47:34,678 basehttp 151664 140330625943104 "GET /favicon.ico HTTP/1.1" 404 3437
INFO 2021-08-31 22:47:37,515 basehttp 151664 140330625943104 "GET /products/ HTTP/1.1" 302 0
INFO 2021-08-31 22:47:37,533 basehttp 151664 140330625943104 "GET /accounts/login/?next=/products/ HTTP/1.1" 200 4673
INFO 2021-08-31 22:47:37,563 basehttp 151664 140330625943104 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:47:38,289 basehttp 151664 140330625943104 "GET /accounts/login/?next=/accounts/login/ HTTP/1.1" 200 4679
INFO 2021-08-31 22:47:38,315 basehttp 151664 140330625943104 "GET /static/store/css/store.css HTTP/1.1" 304 0
